Keys;bg;cs;en;hu;it;ro;sk
Publikovaný;_NEPRELOZENE_;Publikovaný;Published;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Publikovaný
Referenčné obrázky;_NEPRELOZENE_;Referenčné obrázky;Reference images;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Referenčné obrázky
Registrovať;_NEPRELOZENE_;Registrovať;Register;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Registrovať
Registrovať sa;_NEPRELOZENE_;Registrovať sa;Register now;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Registrovať sa
Registrácia;_NEPRELOZENE_;Registrácia;Registration;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Registrácia
Rola;_NEPRELOZENE_;Rola;Role;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Rola
Salóny;_NEPRELOZENE_;Salóny;Salons;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Salóny
Sem napíšte dôvod skrytia;_NEPRELOZENE_;Sem napíšte dôvod skrytia;Please write here the reason for hiding;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Sem napíšte dôvod skrytia
Sem napíšte dôvod zamietnutia;_NEPRELOZENE_;Sem napíšte dôvod zamietnutia;Please write here the reason for rejection;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Sem napíšte dôvod zamietnutia
Skrytie salónu;_NEPRELOZENE_;Skrytie salónu;Hiding salon;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Skrytie salónu
Skryť salón;_NEPRELOZENE_;Skryť salón;Hide salon;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Skryť salón
Služba;_NEPRELOZENE_;Služba;Service;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Služba
Služby;_NEPRELOZENE_;Služby;Services;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Služby
So;_NEPRELOZENE_;So;Sat;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;So
Sobota;_NEPRELOZENE_;Sobota;Saturday;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Sobota
Sociálne siete;_NEPRELOZENE_;Sociálne siete;Social networks;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Sociálne siete
Správa kategórií;_NEPRELOZENE_;Správa kategórií;Category management;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Správa kategórií
Správa kozmetiky;_NEPRELOZENE_;Správa kozmetiky;Cosmetics administration;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Správa kozmetiky
Spárované;_NEPRELOZENE_;Spárované;Paired;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Spárované
Späť;_NEPRELOZENE_;Späť;Back to;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Späť
St;_NEPRELOZENE_;St;Wed;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;St
Stav konta;_NEPRELOZENE_;Stav konta;Account status;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Stav konta
Stavy;_NEPRELOZENE_;Stavy;States;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Stavy
Streda;_NEPRELOZENE_;Streda;Wednesday;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Streda
Stránka, ktorú sa pokúšate zobraziť, neexistuje Prosím prejdite späť na hlavnú stránku Ak si myslíte, že je to spôsobené chybou aplikácie, prosím kontaktujte nás;_NEPRELOZENE_;Stránka, ktorú sa pokúšate zobraziť, neexistuje Prosím prejdite späť na hlavnú stránku Ak si myslíte, že je to spôsobené chybou aplikácie, prosím kontaktujte nás;The page you are trying to open does not exist. Please navigate back to the main page. If you think this is due to an application error, please contact us;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Stránka, ktorú sa pokúšate zobraziť, neexistuje Prosím prejdite späť na hlavnú stránku Ak si myslíte, že je to spôsobené chybou aplikácie, prosím kontaktujte nás
Stále však môžete editovať existujúce;_NEPRELOZENE_;Stále však môžete editovať existujúce;However, you can still edit existing;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Stále však môžete editovať existujúce
Súbor je príliš veľký (max. {{size}} {{unit}});_NEPRELOZENE_;Súbor je príliš veľký (max. {{size}} {{unit}});File is too large (max. {{size}} {{unit}});_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Súbor je príliš veľký (max. {{size}} {{unit}})
Telefón;_NEPRELOZENE_;Telefón;Phone;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Telefón
Telefónne čísla;_NEPRELOZENE_;Telefónne čísla;Telephone numbers;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Telefónne čísla
Telefónne číslo nie je platné;_NEPRELOZENE_;Telefónne číslo nie je platné;Telephone number is not valid;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Telefónne číslo nie je platné
Toto pole je povinné;_NEPRELOZENE_;Toto pole je povinné;This field is required;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Toto pole je povinné
Trvanie (min);_NEPRELOZENE_;Trvanie (min);Duration (min);_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Trvanie (min)
Trvanie (minúty);_NEPRELOZENE_;Trvanie (minúty);Duration (minutes);_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Trvanie (minúty)
Trvanie do (minúty);_NEPRELOZENE_;Trvanie do (minúty);Duration to (minutes);_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Trvanie do (minúty)
Trvanie od (minúty);_NEPRELOZENE_;Trvanie od (minúty);Duration from (minutes);_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Trvanie od (minúty)
Typ vytvorenia;_NEPRELOZENE_;Typ vytvorenia;Type of creation;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Typ vytvorenia
Táto operácia nie je povolená.;_NEPRELOZENE_;Táto operácia nie je povolená.;This operation is not allowed.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Táto operácia nie je povolená.
"Táto operácia nie je povolená. Hlavnú kategóriu je možné pridať cez tlačidlo ""Pridať kategóriu"".";_NEPRELOZENE_;"Táto operácia nie je povolená. Hlavnú kategóriu je možné pridať cez tlačidlo ""Pridať kategóriu"".";"This operation is not allowed. The main category can be added via the ""Add category"" button.";_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;"Táto operácia nie je povolená. Hlavnú kategóriu je možné pridať cez tlačidlo ""Pridať kategóriu""."
Udeľujem súhlas so spracúvaním osobných údajov na;_NEPRELOZENE_;Udeľujem súhlas so spracúvaním osobných údajov na;I give my consent to the processing of my personal data for;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Udeľujem súhlas so spracúvaním osobných údajov na
Ulica;_NEPRELOZENE_;Ulica;Street;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Ulica
Uložiť;_NEPRELOZENE_;Uložiť;Save;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Uložiť
Uložiť {{entity}};_NEPRELOZENE_;Uložiť {{entity}};Save {{entity}};_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Uložiť {{entity}}
Upozornenie;_NEPRELOZENE_;Upozornenie;Notice;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Upozornenie
Upozornenie!;_NEPRELOZENE_;Upozornenie!;Warning!;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Upozornenie!
Upraviť kategóriu;_NEPRELOZENE_;Upraviť kategóriu;Edit category;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Upraviť kategóriu
Upraviť kozmetiku;_NEPRELOZENE_;Upraviť kozmetiku;Adjust cosmetics;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Upraviť kozmetiku
Upraviť rolu;_NEPRELOZENE_;Upraviť rolu;Edit role;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Upraviť rolu
Upraviť {{entity}};_NEPRELOZENE_;Upraviť {{entity}};Edit {{entity}};_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Upraviť {{entity}}
Ups niečo sa pokazilo;_NEPRELOZENE_;Ups niečo sa pokazilo;Oops something went wrong;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Ups niečo sa pokazilo
Ut;_NEPRELOZENE_;Ut;Tue;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Ut
Utorok;_NEPRELOZENE_;Utorok;Tuesday;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Utorok
Uveďte adresu, na ktorú odošleme link pre pozvanie zamestnanca do tímu.;_NEPRELOZENE_;Uveďte adresu, na ktorú odošleme link pre pozvanie zamestnanca do tímu.;Please provide the address to which we will send the link to invite the employee to the team.;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Uveďte adresu, na ktorú odošleme link pre pozvanie zamestnanca do tímu.
Už ste registrovaný?;_NEPRELOZENE_;Už ste registrovaný?;Are you registered yet?;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Už ste registrovaný?
Variabilná cena;_NEPRELOZENE_;Variabilná cena;Variable price;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Variabilná cena
Variabilné trvanie;_NEPRELOZENE_;Variabilné trvanie;Variable duration;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Variabilné trvanie
Verifikácia;_NEPRELOZENE_;Verifikácia;Verification;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Verifikácia
Vrátiť sa do administrácie;_NEPRELOZENE_;Vrátiť sa do administrácie;Return to the administration;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vrátiť sa do administrácie
Vyber krajinu;_NEPRELOZENE_;Vyber krajinu;Select a country;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyber krajinu
Vyber pohlavie;_NEPRELOZENE_;Vyber pohlavie;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyber pohlavie
Vyberte aspoň jednu z možností;_NEPRELOZENE_;Vyberte aspoň jednu z možností;Select at least one of the options;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyberte aspoň jednu z možností
Vyberte kategóriu;_NEPRELOZENE_;Vyberte kategóriu;Select category;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyberte kategóriu
Vyberte krajinu;_NEPRELOZENE_;Vyberte krajinu;Select a country;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyberte krajinu
Vyberte odvetvie;_NEPRELOZENE_;Vyberte odvetvie;Select an industry;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyberte odvetvie
Vyberte rolu;_NEPRELOZENE_;Vyberte rolu;Select a role;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyberte rolu
Vyberte služby;_NEPRELOZENE_;Vyberte služby;Select services;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyberte služby
Vyberte súbor vo formáte .xls/.xlsx;_NEPRELOZENE_;Vyberte súbor vo formáte .xls/.xlsx;Select a file in .xls/.xlsx format;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyberte súbor vo formáte .xls/.xlsx
Vyberte zamestnancov;_NEPRELOZENE_;Vyberte zamestnancov;Select employees;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyberte zamestnancov
Vyberte {{entity}};_NEPRELOZENE_;Vyberte {{entity}};Select;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyberte {{entity}}
Vybrať;_NEPRELOZENE_;Vybrať;Select;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vybrať
Vyhlasujem, že som sa oboznámil s;_NEPRELOZENE_;Vyhlasujem, že som sa oboznámil s;I declare that I am familiar with;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyhlasujem, že som sa oboznámil s
Vyhlasujem, že som sa oboznámil so;_NEPRELOZENE_;Vyhlasujem, že som sa oboznámil so;I declare that I am familiar with;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyhlasujem, že som sa oboznámil so
Vyhľadajte miesto na mape;_NEPRELOZENE_;Vyhľadajte miesto na mape;Search a place on the map;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyhľadajte miesto na mape
Vyhľadajte podľa {{entity}};_NEPRELOZENE_;Vyhľadajte podľa {{entity}};Search by;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyhľadajte podľa {{entity}}
Vyhľadajte {{entity}};_NEPRELOZENE_;Vyhľadajte {{entity}};Search;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyhľadajte {{entity}}
Vyhľadať;_NEPRELOZENE_;Vyhľadať;Search;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyhľadať
Vymazaný;_NEPRELOZENE_;Vymazaný;Deleted;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vymazaný
Vyplnenie profilu;_NEPRELOZENE_;Vyplnenie profilu;Filling out the profile;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyplnenie profilu
Vytvorenie zákazníka;_NEPRELOZENE_;Vytvorenie zákazníka;Create customer;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvorenie zákazníka
Vytvorené;_NEPRELOZENE_;Vytvorené;Created;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvorené
Vytvoriť kategóriu;_NEPRELOZENE_;Vytvoriť kategóriu;Create category;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť kategóriu
Vytvoriť kozmetiku;_NEPRELOZENE_;Vytvoriť kozmetiku;Create cosmetics;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť kozmetiku
Vytvoriť podkategóriu;_NEPRELOZENE_;Vytvoriť podkategóriu;Create subcategory;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť podkategóriu
Vytvoriť podkategóriu pre;_NEPRELOZENE_;Vytvoriť podkategóriu pre;Create subcategory for;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť podkategóriu pre
Vytvoriť podporu;_NEPRELOZENE_;Vytvoriť podporu;Create support;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť podporu
Vytvoriť používateľa;_NEPRELOZENE_;Vytvoriť používateľa;Create user;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť používateľa
Vytvoriť salón;_NEPRELOZENE_;Vytvoriť salón;Create salon;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť salón
Vytvoriť službu;_NEPRELOZENE_;Vytvoriť službu;Create service;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť službu
Vytvoriť zamestnanca;_NEPRELOZENE_;Vytvoriť zamestnanca;Create an employee;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť zamestnanca
Vytvoriť {{entity}};_NEPRELOZENE_;Vytvoriť {{entity}};Create;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vytvoriť {{entity}}
Vyžiadať nový odkaz pre nastavenie hesla;_NEPRELOZENE_;Vyžiadať nový odkaz pre nastavenie hesla;Request a new link to set a password;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Vyžiadať nový odkaz pre nastavenie hesla
Všetky;_NEPRELOZENE_;Všetky;All;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Všetky
Webstránka;_NEPRELOZENE_;Webstránka;Webpage;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Webstránka
Zabudnuté heslo;_NEPRELOZENE_;Zabudnuté heslo;Forgot password;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zabudnuté heslo
Zadajte DIČ;_NEPRELOZENE_;Zadajte DIČ;Enter TIN;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte DIČ
Zadajte IČ DPH;_NEPRELOZENE_;Zadajte IČ DPH;Enter Including VAT;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte IČ DPH
Zadajte IČO;_NEPRELOZENE_;Zadajte IČO;Enter Company registration number;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte IČO
Zadajte PIN;_NEPRELOZENE_;Zadajte PIN;Enter PIN;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte PIN
Zadajte celý PIN;_NEPRELOZENE_;Zadajte celý PIN;Enter full PIN;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte celý PIN
Zadajte doplňujúce informácie o salóne;_NEPRELOZENE_;Zadajte doplňujúce informácie o salóne;Enter additional salon information;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte doplňujúce informácie o salóne
"Zadajte doplňujúcu informáciu, napr ""3. poschodie vľavo""";_NEPRELOZENE_;"Zadajte doplňujúcu informáciu, napr ""3. poschodie vľavo""";"Enter additional information, e.g. ""3rd floor left""";_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;"Zadajte doplňujúcu informáciu, napr ""3. poschodie vľavo"""
Zadajte email;_NEPRELOZENE_;Zadajte email;Enter email;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte email
Zadajte heslo;_NEPRELOZENE_;Zadajte heslo;Enter password;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte heslo
Zadajte maximálne {{max}};_NEPRELOZENE_;Zadajte maximálne {{max}};Enter maximum;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte maximálne {{max}}
Zadajte meno;_NEPRELOZENE_;Zadajte meno;Enter name;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte meno
Zadajte mesto;_NEPRELOZENE_;Zadajte mesto;Enter city;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte mesto
Zadajte minimálne {{min}};_NEPRELOZENE_;Zadajte minimálne {{min}};Enter a minimum ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte minimálne {{min}}
Zadajte názov;_NEPRELOZENE_;Zadajte názov;Enter title;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte názov
Zadajte popis;_NEPRELOZENE_;Zadajte popis;Enter description;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte popis
"Zadajte poznámku k adrese, napr. ""3. poschodie vľavo""";_NEPRELOZENE_;"Zadajte poznámku k adrese, napr. ""3. poschodie vľavo""";"Enter a note for the address, e.g. ""3rd floor left""";_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;"Zadajte poznámku k adrese, napr. ""3. poschodie vľavo"""
Zadajte priezvisko;_NEPRELOZENE_;Zadajte priezvisko;Enter surname;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte priezvisko
Zadajte smerovacie číslo;_NEPRELOZENE_;Zadajte smerovacie číslo;Enter the area code;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte smerovacie číslo
Zadajte telefón;_NEPRELOZENE_;Zadajte telefón;Enter phone;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte telefón
Zadajte ulicu;_NEPRELOZENE_;Zadajte ulicu;Enter the street;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte ulicu
Zadajte základné informácie o salóne;_NEPRELOZENE_;Zadajte základné informácie o salóne;Enter basic salon information;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte základné informácie o salóne
Zadajte {{entity}};_NEPRELOZENE_;Zadajte {{entity}};Enter;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte {{entity}}
Zadajte číslo;_NEPRELOZENE_;Zadajte číslo;Enter number;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zadajte číslo
Zamestnanci;_NEPRELOZENE_;Zamestnanci;Employees;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zamestnanci
Zamestnanec;_NEPRELOZENE_;Zamestnanec;Employee;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zamestnanec
Zamietnuté;_NEPRELOZENE_;Zamietnuté;Rejected;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zamietnuté
Zamietnuť;_NEPRELOZENE_;Zamietnuť;Reject;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zamietnuť
Zatvorené;_NEPRELOZENE_;Zatvorené;Closed;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zatvorené
Zatvoriť;_NEPRELOZENE_;Zatvoriť;Close;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zatvoriť
Začnite vytvorením salónu;_NEPRELOZENE_;Začnite vytvorením salónu;Start by creating a salon;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Začnite vytvorením salónu
Zmazať;_NEPRELOZENE_;Zmazať;Delete;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zmazať
Zmeny;_NEPRELOZENE_;Zmeny;Changes;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zmeny
Znovu vyžiadať PIN;_NEPRELOZENE_;Znovu vyžiadať PIN;Request PIN again;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Znovu vyžiadať PIN
Zopakujte heslo;_NEPRELOZENE_;Zopakujte heslo;Repeat the password;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zopakujte heslo
Zopakujte nové heslo;_NEPRELOZENE_;Zopakujte nové heslo;Repeat the new password;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zopakujte nové heslo
Zoznam je prázdny;_NEPRELOZENE_;Zoznam je prázdny;The list is empty;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zoznam je prázdny
Zoznam podporných centier;_NEPRELOZENE_;Zoznam podporných centier;List of support centres;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zoznam podporných centier
Zoznam používateľov;_NEPRELOZENE_;Zoznam používateľov;List of users;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zoznam používateľov
Zoznam priradených služieb;_NEPRELOZENE_;Zoznam priradených služieb;List of assigned services;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zoznam priradených služieb
Zoznam priradených zamestnancov;_NEPRELOZENE_;Zoznam priradených zamestnancov;List of assigned employees;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zoznam priradených zamestnancov
Zoznam salónov;_NEPRELOZENE_;Zoznam salónov;List of salons;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zoznam salónov
Zoznam služieb;_NEPRELOZENE_;Zoznam služieb;List of services;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zoznam služieb
Zoznam zamestnancov;_NEPRELOZENE_;Zoznam zamestnancov;List of employees;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zoznam zamestnancov
Zoznam zákazníkov;_NEPRELOZENE_;Zoznam zákazníkov;List of customers;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zoznam zákazníkov
Zrušiť;_NEPRELOZENE_;Zrušiť;Cancel;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zrušiť
Zvolený dátum nesmie byť pred dátumom {{ compareDate }};_NEPRELOZENE_;Zvolený dátum nesmie byť pred dátumom {{ compareDate }};The selected date must not be before the date ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zvolený dátum nesmie byť pred dátumom {{ compareDate }}
Zvoľte si krajinu;_NEPRELOZENE_;Zvoľte si krajinu;Choose country;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zvoľte si krajinu
Zákazníci;_NEPRELOZENE_;Zákazníci;Customers;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zákazníci
Základné údaje;_NEPRELOZENE_;Základné údaje;Basic information;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Základné údaje
Zásadami spracovania osobných údajov;_NEPRELOZENE_;Zásadami spracovania osobných údajov;Personal data processing principles;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;Zásadami spracovania osobných údajov
email;_NEPRELOZENE_;email;email;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;email
kontakt;_NEPRELOZENE_;kontakt;contact;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;kontakt
kozmetiku;_NEPRELOZENE_;kozmetiku;cosmetics;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;kozmetiku
ktorý sme vám odoslali vo verifikačnom emaily na adresu {{email}};_NEPRELOZENE_;ktorý sme vám odoslali vo verifikačnom emaily na adresu {{email}};which we have sent to you in a verification email to address ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;ktorý sme vám odoslali vo verifikačnom emaily na adresu {{email}}
min;_NEPRELOZENE_;min;min;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;min
používateľa;_NEPRELOZENE_;používateľa;users;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;používateľa
poznámku;_NEPRELOZENE_;poznámku;note;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;poznámku
salón;_NEPRELOZENE_;salón;salon;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;salón
slovensky;_NEPRELOZENE_;slovensky;slovak;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;slovensky
službu;_NEPRELOZENE_;službu;service;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;službu
zamestnanca;_NEPRELOZENE_;zamestnanca;employee ;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;zamestnanca
zvolený salón;_NEPRELOZENE_;zvolený salón;the selected salon;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;zvolený salón
zákazníka;_NEPRELOZENE_;zákazníka;customer;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;zákazníka
{{from}} - {{to}} z {{total}} záznamov;_NEPRELOZENE_;{{from}} - {{to}} z {{total}} záznamov;of records;_NEPRELOZENE_;_NEPRELOZENE_;_NEPRELOZENE_;{{from}} - {{to}} z {{total}} záznamov
