Keys; cs ; en ; sk 
 V sálone sa nachádzajú nepublikované zmeny, ktoré je pred zverejnením potrebné schváliť administrátorom.; _NEPRELOZENE_; There are unpublished changes that need to be approved by the administrator before publication.; V sálone sa nachádzajú nepublikované zmeny, ktoré je pred zverejnením potrebné schváliť administrátorom.
 V tomto odvetví nie sú dostupné na výber žiadne služby; _NEPRELOZENE_; There are no services available for selection in this industry; V tomto odvetví nie sú dostupné na výber žiadne služby
 Variabilná cena; _NEPRELOZENE_; Variable price; Variabilná cena
 Variabilné trvanie; _NEPRELOZENE_; Variable duration; Variabilné trvanie
 Verifikácia; _NEPRELOZENE_; Verification; Verifikácia
 Vlajka; _NEPRELOZENE_; Flag; Vlajka
 Vo formulári máte neuložené zmeny. Želáte si pokračovať ďalej?; _NEPRELOZENE_; There are unsaved changes in the form. Do you wish to continue?; Vo formulári máte neuložené zmeny. Želáte si pokračovať ďalej?
 Vrátiť sa do administrácie; _NEPRELOZENE_; Return to the administration; Vrátiť sa do administrácie
 Vyber krajinu; _NEPRELOZENE_; Select a country; Vyber krajinu
 Vyber pohlavie; _NEPRELOZENE_; Select a gender; Vyber pohlavie
 Vyberte aspoň jedno odvetvie; _NEPRELOZENE_; Choose at least one industry; Vyberte aspoň jedno odvetvie
 Vyberte aspoň jednu z možností; _NEPRELOZENE_; Select at least one of the options; Vyberte aspoň jednu z možností
 Vyberte jazyk; _NEPRELOZENE_; Select language; Vyberte jazyk
 Vyberte kategóriu služby; _NEPRELOZENE_; Select a category of service; Vyberte kategóriu služby
 Vyberte kozmetiku; _NEPRELOZENE_; Select cosmetics; Vyberte kozmetiku
 Vyberte krajinu; _NEPRELOZENE_; Select a country; Vyberte krajinu
 Vyberte odvetvia, ktoré ponúkate; _NEPRELOZENE_; Select industries you offer; Vyberte odvetvia, ktoré ponúkate
 Vyberte odvetvie; _NEPRELOZENE_; Select an industry; Vyberte odvetvie
 Vyberte parameter; _NEPRELOZENE_; Select a parameter; Vyberte parameter
 Vyberte rolu; _NEPRELOZENE_; Select a role; Vyberte rolu
 Vyberte službu; _NEPRELOZENE_; Select a service; Vyberte službu
 Vyberte súbor vo formáte .xls/.xlsx; _NEPRELOZENE_; Select a file in .xls/.xlsx format; Vyberte súbor vo formáte .xls/.xlsx
 Vyberte zamestnancov; _NEPRELOZENE_; Select employees; Vyberte zamestnancov
 Vyberte {{entity}}; _NEPRELOZENE_; Select {{entity}}; Vyberte {{entity}}
 Vybrať; _NEPRELOZENE_; Select; Vybrať
 Vybrať všetky služby odevetvia; _NEPRELOZENE_; Select all industry services; Vybrať všetky služby odevetvia
 Vyhlasujem, že som sa oboznámil s; _NEPRELOZENE_; I declare that I am familiar with; Vyhlasujem, že som sa oboznámil s
 Vyhlasujem, že som sa oboznámil so; _NEPRELOZENE_; I declare that I am familiar with; Vyhlasujem, že som sa oboznámil so
 Vyhľadajte adresu na mape alebo vo vyhľadávači; _NEPRELOZENE_; Search an address on the map or in the search engine; Vyhľadajte adresu na mape alebo vo vyhľadávači
 Vyhľadajte miesto na mape; _NEPRELOZENE_; Search a place on the map; Vyhľadajte miesto na mape
 Vyhľadajte podľa {{entity}}; _NEPRELOZENE_; Search by {{entity}}; Vyhľadajte podľa {{entity}}
 Vyhľadajte salón podľa názvu alebo zadajte vlastný; _NEPRELOZENE_; Search salon by name or enter your own name; Vyhľadajte salón podľa názvu alebo zadajte vlastný
 Vyhľadajte {{entity}}; _NEPRELOZENE_; Search {{entity}}; Vyhľadajte {{entity}}
 Vyhľadať; _NEPRELOZENE_; Search; Vyhľadať
 Vymazané salóny; _NEPRELOZENE_; Deleted salons; Vymazané salóny
 Vymazaný; _NEPRELOZENE_; Deleted; Vymazaný
 Vyplnenie profilu; _NEPRELOZENE_; Filling out the profile; Vyplnenie profilu
 Vyplnenie služby; _NEPRELOZENE_; Filling out the service; Vyplnenie služby
 Vytvorenie zákazníka; _NEPRELOZENE_; Create customer; Vytvorenie zákazníka
 Vytvorené; _NEPRELOZENE_; Created; Vytvorené
 Vytvorený; _NEPRELOZENE_; Created; Vytvorený
 Vytvoriť jazyk; _NEPRELOZENE_; Create language; Vytvoriť jazyk
 Vytvoriť kategóriu; _NEPRELOZENE_; Create category; Vytvoriť kategóriu
 Vytvoriť kozmetiku; _NEPRELOZENE_; Create cosmetics; Vytvoriť kozmetiku
 Vytvoriť parameter kategórie; _NEPRELOZENE_; Create a parameter of category; Vytvoriť parameter kategórie
 Vytvoriť podkategóriu; _NEPRELOZENE_; Create subcategory; Vytvoriť podkategóriu
 Vytvoriť podkategóriu pre; _NEPRELOZENE_; Create subcategory for; Vytvoriť podkategóriu pre
 Vytvoriť podporu; _NEPRELOZENE_; Create support; Vytvoriť podporu
 Vytvoriť používateľa; _NEPRELOZENE_; Create user; Vytvoriť používateľa
 Vytvoriť profil; _NEPRELOZENE_; Create profile; Vytvoriť profil
 Vytvoriť profil kolegu; _NEPRELOZENE_; Create colleague profile; Vytvoriť profil kolegu
 Vytvoriť salón; _NEPRELOZENE_; Create salon; Vytvoriť salón
 Vytvoriť službu; _NEPRELOZENE_; Create service; Vytvoriť službu
 Vytvoriť zamestnanca; _NEPRELOZENE_; Create an employee; Vytvoriť zamestnanca
 Vytvoriť {{entity}}; _NEPRELOZENE_; Create {{entity}}; Vytvoriť {{entity}}
 Vytvoriť špecialistu; _NEPRELOZENE_; Create specialist; Vytvoriť špecialistu
 Vyžiadať nový odkaz pre nastavenie hesla; _NEPRELOZENE_; Request a new link to set a password; Vyžiadať nový odkaz pre nastavenie hesla
 Výber role; _NEPRELOZENE_; Role selection; Výber role
 Všetky; _NEPRELOZENE_; All; Všetky
 Webstránka; _NEPRELOZENE_; Webpage; Webstránka
 Youtube; _NEPRELOZENE_; Youtube; Youtube
 Zabudnuté heslo; _NEPRELOZENE_; Forgot password; Zabudnuté heslo
 Zadajte DIČ; _NEPRELOZENE_; Enter TIN; Zadajte DIČ
 Zadajte IČ DPH; _NEPRELOZENE_; Enter Including VAT; Zadajte IČ DPH
 Zadajte IČO; _NEPRELOZENE_; Enter Company registration number; Zadajte IČO
 Zadajte PIN; _NEPRELOZENE_; Enter PIN; Zadajte PIN
 Zadajte celý PIN; _NEPRELOZENE_; Enter full PIN; Zadajte celý PIN
 Zadajte doplňujúce informácie o salóne; _NEPRELOZENE_; Enter additional salon information; Zadajte doplňujúce informácie o salóne
 Zadajte doplňujúcu informáciu, napr "3. poschodie vľavo"; _NEPRELOZENE_; Enter addition info e.g. "3rd floor on the left side"; Zadajte doplňujúcu informáciu, napr "3. poschodie vľavo"
 Zadajte email; _NEPRELOZENE_; Enter email; Zadajte email
 Zadajte heslo; _NEPRELOZENE_; Enter password; Zadajte heslo
 Zadajte hodnotu; _NEPRELOZENE_; Enter value; Zadajte hodnotu
 Zadajte hodnotu v minútach; _NEPRELOZENE_; Enter value in minutes; Zadajte hodnotu v minútach
 Zadajte maximálne {{max}}; _NEPRELOZENE_; Enter maximum {{max}}; Zadajte maximálne {{max}}
 Zadajte meno; _NEPRELOZENE_; Enter name; Zadajte meno
 Zadajte mesto; _NEPRELOZENE_; Enter city; Zadajte mesto
 Zadajte minimálne {{min}}; _NEPRELOZENE_; Enter a minimum {{min}}; Zadajte minimálne {{min}}
 Zadajte názov; _NEPRELOZENE_; Enter title; Zadajte názov
 Zadajte popis; _NEPRELOZENE_; Enter a description; Zadajte popis
 Zadajte poznámku; _NEPRELOZENE_; Enter note; Zadajte poznámku
 Zadajte poznámku k adrese, napr. "3. poschodie vľavo"; _NEPRELOZENE_; Enter a note for the address e.g. "3rd floor on the left side"; Zadajte poznámku k adrese, napr. "3. poschodie vľavo"
 Zadajte poznámku k parkovaniu, napr. "Parkovanie oproti budove."; _NEPRELOZENE_; Enter a note for the parking e.g. "3rd floor on the left side"; Zadajte poznámku k parkovaniu, napr. "Parkovanie oproti budove."
 Zadajte predvoľbu; _NEPRELOZENE_; Enter prefix; Zadajte predvoľbu
 Zadajte priezvisko; _NEPRELOZENE_; Enter surname; Zadajte priezvisko
 Zadajte smerovacie číslo; _NEPRELOZENE_; Enter the area code; Zadajte smerovacie číslo
 Zadajte správny formát adresy (napr. {{url}}); _NEPRELOZENE_; Enter a valid address (e.g. {{url}}); Zadajte správny formát adresy (napr. {{url}})
 Zadajte telefón; _NEPRELOZENE_; Enter phone; Zadajte telefón
 Zadajte ulicu; _NEPRELOZENE_; Enter the street; Zadajte ulicu
 Zadajte základné informácie o salóne; _NEPRELOZENE_; Enter basic salon information; Zadajte základné informácie o salóne
 Zadajte {{entity}}; _NEPRELOZENE_; Enter {{entity}}; Zadajte {{entity}}
 Zadajte číslo; _NEPRELOZENE_; Enter number; Zadajte číslo
 Zamestnanci; _NEPRELOZENE_; Employees; Zamestnanci
 Zamestnanec 1; _NEPRELOZENE_; Employee 1; Zamestnanec 1
 Zamestnanec 2; _NEPRELOZENE_; Employee 2; Zamestnanec 2
 Zamietnuté; _NEPRELOZENE_; Rejected; Zamietnuté
 Zamietnuť; _NEPRELOZENE_; Reject; Zamietnuť
 Zatvorené; _NEPRELOZENE_; Closed; Zatvorené
 Zatvoriť; _NEPRELOZENE_; Close; Zatvoriť
 Začnite vytvorením salónu; _NEPRELOZENE_; Start by creating a salon; Začnite vytvorením salónu
 Zmazať; _NEPRELOZENE_; Delete; Zmazať
 Zmeny; _NEPRELOZENE_; Changes; Zmeny
 Zmeny v publikovaných salónoch za ; _NEPRELOZENE_; Changes in published salons for ; Zmeny v publikovaných salónoch za 
 Zmeny v salóne boli zamietnuté z dôvodu; _NEPRELOZENE_; Salon changes were rejected. Reason; Zmeny v salóne boli zamietnuté z dôvodu
 Znovu vyžiadať PIN; _NEPRELOZENE_; Request PIN again; Znovu vyžiadať PIN
 Zobraziť; _NEPRELOZENE_; Show; Zobraziť
 Zopakujte heslo; _NEPRELOZENE_; Repeat the password; Zopakujte heslo
 Zopakujte nové heslo; _NEPRELOZENE_; Repeat the new password; Zopakujte nové heslo
 Zoznam jazykov v salónoch; _NEPRELOZENE_; List of languages in salons; Zoznam jazykov v salónoch
 Zoznam je prázdny; _NEPRELOZENE_; The list is empty; Zoznam je prázdny
 Zoznam kategórií; _NEPRELOZENE_; List of categories; Zoznam kategórií
 Zoznam kozmetiky; _NEPRELOZENE_; List of cosmetics; Zoznam kozmetiky
 Zoznam odvetví; _NEPRELOZENE_; List of industries; Zoznam odvetví
 Zoznam parametrov kategórií; _NEPRELOZENE_; List of category parameters; Zoznam parametrov kategórií
 Zoznam podporných centier; _NEPRELOZENE_; List of support centres; Zoznam podporných centier
 Zoznam používateľov; _NEPRELOZENE_; List of users; Zoznam používateľov
 Zoznam priradených služieb; _NEPRELOZENE_; List of assigned services; Zoznam priradených služieb
 Zoznam salónov; _NEPRELOZENE_; List of salons; Zoznam salónov
 Zoznam služieb; _NEPRELOZENE_; List of services; Zoznam služieb
 Zoznam zamestnancov; _NEPRELOZENE_; List of employees; Zoznam zamestnancov
 Zoznam zákazníkov; _NEPRELOZENE_; List of customers; Zoznam zákazníkov
 Zoznam špecialistov; _NEPRELOZENE_; List of specialist; Zoznam špecialistov
 Zrušiť; _NEPRELOZENE_; Cancel; Zrušiť
 Zvolený dátum nesmie byť pred dátumom {{ compareDate }}; _NEPRELOZENE_; The selected date must not be before the date {{ compareDate }}; Zvolený dátum nesmie byť pred dátumom {{ compareDate }}
 Zvoľte si krajinu; _NEPRELOZENE_; Choose country; Zvoľte si krajinu
 Zákazníci; _NEPRELOZENE_; Customers; Zákazníci
 Základné údaje; _NEPRELOZENE_; Basic information; Základné údaje
 Zásadami spracovania osobných údajov; _NEPRELOZENE_; Personal data processing principles; Zásadami spracovania osobných údajov
 alebo; _NEPRELOZENE_; or; alebo
 email; _NEPRELOZENE_; email; email
 hodnotu; _NEPRELOZENE_; value; hodnotu
 jazyk; _NEPRELOZENE_; language; jazyk
 kozmetiku; _NEPRELOZENE_; cosmetics; kozmetiku
 ktorý sme vám odoslali vo verifikačnom emaily na adresu {{email}}; _NEPRELOZENE_; which we have sent to you in a verification email to address {{email}}; ktorý sme vám odoslali vo verifikačnom emaily na adresu {{email}}
 len svoje; _NEPRELOZENE_; only own; len svoje
 len vytváranie a úprava; _NEPRELOZENE_; only creating and editing; len vytváranie a úprava
 len úprava; _NEPRELOZENE_; only editing; len úprava
 len úprava a mazanie; _NEPRELOZENE_; only editing and deleting; len úprava a mazanie
 len úprava a mazanie, len svoje; _NEPRELOZENE_; only editing and deleting, only own; len úprava a mazanie, len svoje
 mať uvedené aspoň 1 telefónne číslo; _NEPRELOZENE_; to have at least 1 phone number filled in; mať uvedené aspoň 1 telefónne číslo
 mať vyplnenú adresu salónu; _NEPRELOZENE_; to have address of the salon filled in; mať vyplnenú adresu salónu
 mať vyplnený názov salónu; _NEPRELOZENE_; to have name of the salon filled in; mať vyplnený názov salónu
 min; _NEPRELOZENE_; min; min
 môže trvať 48 hodín; _NEPRELOZENE_; can last 48 hours; môže trvať 48 hodín
 nami vyplnený profil salónu automaticky schválime; _NEPRELOZENE_; we will automatically approve the salon profile filled in by us; nami vyplnený profil salónu automaticky schválime
 nebude možné editovať profil salónu; _NEPRELOZENE_; It will not be possible to edit the salon profile; nebude možné editovať profil salónu
 názov; _NEPRELOZENE_; name; názov
 okrem Admin; _NEPRELOZENE_; except Admin; okrem Admin
 parameter; _NEPRELOZENE_; parameter; parameter
 podporu; _NEPRELOZENE_; support; podporu
 používateľa; _NEPRELOZENE_; users; používateľa
 poznámku; _NEPRELOZENE_; note; poznámku
 priradiť aspoň 1 zamestnanca do salónu, ktorý má aktívny účet v Notino B2B Partner; _NEPRELOZENE_; to have at least 1 employee in the salon with an active account in Notino B2B Partner; priradiť aspoň 1 zamestnanca do salónu, ktorý má aktívny účet v Notino B2B Partner
 profesionálne vyplnené údaje o salóne,; _NEPRELOZENE_; professionally filled salon data,; profesionálne vyplnené údaje o salóne,
 salón; _NEPRELOZENE_; salon; salón
 salón musí mať zvolené aspoň 1 odvetvie; _NEPRELOZENE_; to have at least 1 industry selected in the salon; salón musí mať zvolené aspoň 1 odvetvie
 salóna; _NEPRELOZENE_; of the salon; salóna
 slovensky; _NEPRELOZENE_; slovak; slovensky
 službu; _NEPRELOZENE_; service; službu
 strana; _NEPRELOZENE_; page; strana
 týždeň; _NEPRELOZENE_; week; týždeň
 vyplniť čo najviac relevantných dát o salóne; _NEPRELOZENE_; to fill in all relevant data about the salon; vyplniť čo najviac relevantných dát o salóne
 z; _NEPRELOZENE_; from; z
 zabezpečíme fotografa, ktorý spraví profi fotografie vašich priestorov a tímu,; _NEPRELOZENE_; we will provide a photographer who will take professional photos of your palce and team,; zabezpečíme fotografa, ktorý spraví profi fotografie vašich priestorov a tímu,
 zamestnanca; _NEPRELOZENE_; employee; zamestnanca
 zdarma; _NEPRELOZENE_; free; zdarma
 zobraziť viac; _NEPRELOZENE_; show more; zobraziť viac
 zvolený salón; _NEPRELOZENE_; the selected salon; zvolený salón
 zákazníka; _NEPRELOZENE_; customer; zákazníka
 {{from}} - {{to}} z {{total}} záznamov; _NEPRELOZENE_; {{from}} - {{to}} of {{total}} records; {{from}} - {{to}} z {{total}} záznamov
 Áno, toto je môj salón; _NEPRELOZENE_; Yes, this is my salon; Áno, toto je môj salón
 Úpravy do; _NEPRELOZENE_; Last updated to; Úpravy do
 Úpravy od; _NEPRELOZENE_; Last updated from; Úpravy od
 Úspešne nahraté položky sa následne zobrazia v zozname salónov.; _NEPRELOZENE_; Successfully uploaded entries are then displayed in the list of salons.; Úspešne nahraté položky sa následne zobrazia v zozname salónov.
 Úspešné; _NEPRELOZENE_; Successful; Úspešné
 účet; _NEPRELOZENE_; account; účet
 Čakajúce; _NEPRELOZENE_; Pending; Čakajúce
 Čo sa bude diať ďalej?; _NEPRELOZENE_; What will happen next?; Čo sa bude diať ďalej?
 Číslo ulice; _NEPRELOZENE_; Street number; Číslo ulice
 čas do; _NEPRELOZENE_; time to; čas do
 čas od; _NEPRELOZENE_; time from; čas od
 Ďalšieho špecialistu nie je možné vytvoriť. Pre každú krajinu môžete vytvoriť maximálne jedného.; _NEPRELOZENE_; Further specialist cannot be created. You can create a maximum of one for each country.; Ďalšieho špecialistu nie je možné vytvoriť. Pre každú krajinu môžete vytvoriť maximálne jedného.
 Ďalšiu podporu nie je možné vytvoriť. Pre každú krajinu môžete vytvoriť maximálne jednu.; _NEPRELOZENE_; Further support cannot be created. You can create a maximum of one for each country.; Ďalšiu podporu nie je možné vytvoriť. Pre každú krajinu môžete vytvoriť maximálne jednu.
 Ľutujeme, momentálne nie sú k dispozící žiadne support centrá.; _NEPRELOZENE_; Sorry, there are currently no support centres available.; Ľutujeme, momentálne nie sú k dispozící žiadne support centrá.
 Ľutujeme, momentálne nie sú k dispozící žiadni špecialisti.; _NEPRELOZENE_; We're sorry, there are currently no specialists available.; Ľutujeme, momentálne nie sú k dispozící žiadni špecialisti.
 Ľutujeme, pre zvolenú krajinu moménalne neexistuje žiadna podpora. Ak nás chcete kontaktovať, môžete si zvoliť niektorú z krajín zo zoznamu vyššie.; _NEPRELOZENE_; Sorry, there is currently no support for your chosen country. If you want to contact us, you can choose one of the countries from the list above.; Ľutujeme, pre zvolenú krajinu moménalne neexistuje žiadna podpora. Ak nás chcete kontaktovať, môžete si zvoliť niektorú z krajín zo zoznamu vyššie.
 Ľutujeme, pre zvolenú krajinu moménalne neexistuje žiadny špecialista; _NEPRELOZENE_; We're sorry, there is currently no specialist for your chosen country.; Ľutujeme, pre zvolenú krajinu moménalne neexistuje žiadny špecialista
 Špecialisti; _NEPRELOZENE_; Specialists; Špecialisti
 Štv; _NEPRELOZENE_; Thu; Štv
 Štvrtok; _NEPRELOZENE_; Thursday; Štvrtok
 Štát; _NEPRELOZENE_; State; Štát
 špecialistu; _NEPRELOZENE_; specialist; špecialistu
 Žena; _NEPRELOZENE_; Woman; Žena
 Žiadosť o novú službu; _NEPRELOZENE_; Request new service; Žiadosť o novú službu
--paths--
 activation; /activation; /activation; /activation
 billing-info; /billing-info; /billing-info; /billing-info
 categories; /categories; /categories; /categories
 category-parameters; /category-parameters; /category-parameters; /category-parameters
 category-parameters/create; /category-parameters/create; /category-parameters/create; /category-parameters/create
 category-parameters/{{parameterID}}; /category-parameters/{{parameterID}}; /category-parameters/{{parameterID}}; /category-parameters/{{parameterID}}
 contact; /contact; /contact; /contact
 cosmetics; /cosmetics; /cosmetics; /cosmetics
 customers; /customers; /customers; /customers
 customers/create; /customers/create; /customers/create; /customers/create
 customers/{{customerID}}; /customers/{{customerID}}; /customers/{{customerID}}; /customers/{{customerID}}
 employees; /employees; /employees; /employees
 employees/create; /employees/create; /employees/create; /employees/create
 employees/{{employeeID}}; /employees/{{employeeID}}; /employees/{{employeeID}}; /employees/{{employeeID}}
 index; /; /; /
 industries; /industries; /industries; /industries
 industries/{{industryID}}; /industries/{{industryID}}; /industries/{{industryID}}; /industries/{{industryID}}
 languages-in-salons; /languages-in-salons; /languages-in-salons; /languages-in-salons
 login; /login; /login; /login
 my-account; /my-account; /my-account; /my-account
 reset-password; /reset-password; /reset-password; /reset-password
 salons; /salons; /salons; /salons
 salons/create; /salons/create; /salons/create; /salons/create
 salons/{{salonID}}; /salons/{{salonID}}; /salons/{{salonID}}; /salons/{{salonID}}
 services; /services; /services; /services
 services/create; /services/create; /services/create; /services/create
 services/{{serviceID}}; /services/{{serviceID}}; /services/{{serviceID}}; /services/{{serviceID}}
 signup; /signup; /signup; /signup
 specialist-contacts; /specialist-contacts; /specialist-contacts; /specialist-contacts
 support-contacts; /support-contacts; /support-contacts; /support-contacts
 support-contacts/create; /support-contacts/create; /support-contacts/create; /support-contacts/create
 support-contacts/{{supportContactID}}; /support-contacts/{{supportContactID}}; /support-contacts/{{supportContactID}}; /support-contacts/{{supportContactID}}
 users; /users; /users; /users
 users/create; /users/create; /users/create; /users/create
 users/{{userID}}; /users/{{userID}}; /users/{{userID}}; /users/{{userID}}
